Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,417,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,52,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,28,3
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,4
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,5
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,449,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,55,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,28,3
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,4
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,5
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,815,1
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,131,2
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,81,3
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,37,4
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,18,5
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,857,1
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,129,2
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,74,3
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,32,4
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,12,5
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,765,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,93,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,63,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,26,4
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,13,5
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,498,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,61,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,35,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,12,4
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,7,5
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,537,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,76,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,49,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,25,4
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,11,5
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,761,1
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,125,2
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,91,3
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,57,4
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,14,5
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,626,1
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,103,2
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,76,3
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,27,4
